ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
06/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,238648
06/01/2006 12:00:00 AM,Terminal 6,Departure,International,5648
06/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,296558
06/01/2006 12:00:00 AM,Terminal 7,Arrival,International,34183
06/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,304254
06/01/2006 12:00:00 AM,Terminal 7,Departure,International,47960
06/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,118608
06/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,115685
06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2824
06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,413444
06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,419807
07/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,89
07/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,88
07/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,5
07/01/2006 12:00:00 AM,Misc. Terminal,Arrival,International,4
07/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,8
07/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,469516
07/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,468038
07/01/2006 12:00:00 AM,Terminal 1,Departure,International,784
07/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,120213
07/01/2006 12:00:00 AM,Terminal 2,Arrival,International,191247
07/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,121663
07/01/2006 12:00:00 AM,Terminal 2,Departure,International,188679
07/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,181198
07/01/2006 12:00:00 AM,Terminal 3,Arrival,International,25029
07/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,185292
07/01/2006 12:00:00 AM,Terminal 3,Departure,International,56763
07/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,460367
07/01/2006 12:00:00 AM,Terminal 4,Arrival,International,64509
07/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,456673
07/01/2006 12:00:00 AM,Terminal 4,Departure,International,55251
07/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,196803
07/01/2006 12:00:00 AM,Terminal 5,Arrival,International,36064
07/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,195215
07/01/2006 12:00:00 AM,Terminal 5,Departure,International,44069
07/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,269170
07/01/2006 12:00:00 AM,Terminal 6,Arrival,International,13247
07/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,266116
07/01/2006 12:00:00 AM,Terminal 6,Departure,International,9219
07/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,305257
07/01/2006 12:00:00 AM,Terminal 7,Arrival,International,38300
07/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,303306
07/01/2006 12:00:00 AM,Terminal 7,Departure,International,49922
07/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,117910
07/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,116863
07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2581
07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,500009
07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,Domestic,210
07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,410046
08/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,5
08/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,238
08/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,456601
08/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,466636
08/01/2006 12:00:00 AM,Terminal 1,Departure,International,694
08/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,115441
08/01/2006 12:00:00 AM,Terminal 2,Arrival,International,192850
08/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,117633
08/01/2006 12:00:00 AM,Terminal 2,Departure,International,184788
08/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,187002
08/01/2006 12:00:00 AM,Terminal 3,Arrival,International,26357
08/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,189894
08/01/2006 12:00:00 AM,Terminal 3,Departure,International,57395
08/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,437457
08/01/2006 12:00:00 AM,Terminal 4,Arrival,International,60667
08/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,444030
08/01/2006 12:00:00 AM,Terminal 4,Departure,International,48169
08/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,184823
08/01/2006 12:00:00 AM,Terminal 5,Arrival,International,36361
08/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,188285
08/01/2006 12:00:00 AM,Terminal 5,Departure,International,39815
08/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,249077
08/01/2006 12:00:00 AM,Terminal 6,Arrival,International,9858
08/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,264371
08/01/2006 12:00:00 AM,Terminal 6,Departure,International,7255
08/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,297564
08/01/2006 12:00:00 AM,Terminal 7,Arrival,International,30644
08/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,301232
08/01/2006 12:00:00 AM,Terminal 7,Departure,International,48459
08/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,111537
08/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,114106
08/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2560
08/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,484661
08/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,388778
09/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,111
09/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,211
09/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,209
09/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,152
09/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,382011
09/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,376874
09/01/2006 12:00:00 AM,Terminal 1,Departure,International,114
09/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,95225
09/01/2006 12:00:00 AM,Terminal 2,Arrival,International,161321
09/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,93291
09/01/2006 12:00:00 AM,Terminal 2,Departure,International,160693
09/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,147121
09/01/2006 12:00:00 AM,Terminal 3,Arrival,International,19726
09/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,140018
09/01/2006 12:00:00 AM,Terminal 3,Departure,International,45354
09/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,379889
09/01/2006 12:00:00 AM,Terminal 4,Arrival,International,57183
09/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,375614
09/01/2006 12:00:00 AM,Terminal 4,Departure,International,46217
09/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,140796
09/01/2006 12:00:00 AM,Terminal 5,Arrival,International,20688
09/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,137659
09/01/2006 12:00:00 AM,Terminal 5,Departure,International,23665
09/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,203218
09/01/2006 12:00:00 AM,Terminal 6,Arrival,International,5049
09/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,203971
09/01/2006 12:00:00 AM,Terminal 6,Departure,International,3446
09/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,241417
09/01/2006 12:00:00 AM,Terminal 7,Arrival,International,32678
09/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,240262
09/01/2006 12:00:00 AM,Terminal 7,Departure,International,38656
09/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,114518
09/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,110864
09/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2990
09/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,364109
09/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,342663
10/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,266
10/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,149
10/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,456
10/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,560
10/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,389307
10/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,400200
10/01/2006 12:00:00 AM,Terminal 1,Departure,International,330
10/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,103066
10/01/2006 12:00:00 AM,Terminal 2,Arrival,International,157705
10/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,102200
10/01/2006 12:00:00 AM,Terminal 2,Departure,International,159191
10/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,146297
10/01/2006 12:00:00 AM,Terminal 3,Arrival,International,17982
10/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,142307
10/01/2006 12:00:00 AM,Terminal 3,Departure,International,47829
10/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,409053
10/01/2006 12:00:00 AM,Terminal 4,Arrival,International,53443
10/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,397366
10/01/2006 12:00:00 AM,Terminal 4,Departure,International,50131
10/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,155735
10/01/2006 12:00:00 AM,Terminal 5,Arrival,International,20845
10/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,153750
10/01/2006 12:00:00 AM,Terminal 5,Departure,International,24564
10/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,219489
10/01/2006 12:00:00 AM,Terminal 6,Arrival,International,3569
10/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,216110
10/01/2006 12:00:00 AM,Terminal 6,Departure,International,3103
10/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,258890
10/01/2006 12:00:00 AM,Terminal 7,Arrival,International,31084
10/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,256534
10/01/2006 12:00:00 AM,Terminal 7,Departure,International,38416
10/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,124154
10/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,122141
10/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,349984
10/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,342215
11/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,269
11/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,280
11/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,706
11/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,556
11/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,414626
11/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,410856
11/01/2006 12:00:00 AM,Terminal 1,Departure,International,637
11/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,100641
11/01/2006 12:00:00 AM,Terminal 2,Arrival,International,147574
11/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,100021
11/01/2006 12:00:00 AM,Terminal 2,Departure,International,144960
11/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,150518
11/01/2006 12:00:00 AM,Terminal 3,Arrival,International,18641
11/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,146016
11/01/2006 12:00:00 AM,Terminal 3,Departure,International,55265
11/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,399315
11/01/2006 12:00:00 AM,Terminal 4,Arrival,International,56760
11/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,398286
11/01/2006 12:00:00 AM,Terminal 4,Departure,International,42307
11/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,153848
11/01/2006 12:00:00 AM,Terminal 5,Arrival,International,23116
11/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,153909
11/01/2006 12:00:00 AM,Terminal 5,Departure,International,29027
11/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,223027
11/01/2006 12:00:00 AM,Terminal 6,Arrival,International,1663
11/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,221306
11/01/2006 12:00:00 AM,Terminal 6,Departure,International,3803
11/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,244408
11/01/2006 12:00:00 AM,Terminal 7,Arrival,International,27898
11/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,250410
11/01/2006 12:00:00 AM,Terminal 7,Departure,International,37141
11/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,115776
11/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,113728
11/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,70
11/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,332217
11/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,Domestic,95
